epoch,train_loss,macro_f1,weighted_f1,accuracy,confusion,thresholds,auroc_immune_cold,auprc_immune_cold,f1_immune_cold,auroc_immune_hot,auprc_immune_hot,f1_immune_hot,auroc_normal,auprc_normal,f1_normal,auroc_necrotic,auprc_necrotic,f1_necrotic,mes_auroc,mes_auprc,mes_pearson
12,18.388963729143143,0.5840933081889705,0.8264003421949878,0.8265900268736937,"[[7771, 254, 526, 87], [6, 2, 0, 7], [333, 0, 2382, 0], [1043, 65, 2, 918]]","[0.30000001192092896, 0.05000000074505806, 0.7250000238418579, 0.15000000596046448]",0.8655233150178285,0.9042337779037095,0.8735877690967343,0.7860598360859926,0.003214945641123266,0.011904761904761904,0.9772647528364423,0.9168227019769151,0.8469333333333333,0.90231385861833,0.7379599328970262,0.6039473684210527,0.79467278754164,0.43770770797820086,0.40045999870696936
13,17.725790292024612,0.5105614765713635,0.7786117215790358,0.8084502836667662,"[[8138, 8, 414, 78], [10, 0, 0, 5], [454, 0, 2261, 0], [1594, 3, 0, 431]]","[0.25, 0.17499999701976776, 0.699999988079071, 0.07500000298023224]",0.7816031877095458,0.847962165331194,0.8641817988743762,0.7594748773136039,0.005224896561391795,0.0,0.9754195113851672,0.9105974789110896,0.8389610389610389,0.9005920543079504,0.6834641062272515,0.33910306845003935,0.7925492705820576,0.45769323998880634,0.39888936470140474
14,16.640034019947052,0.5747468883647218,0.8184522660635373,0.8182293221857271,"[[7820, 339, 386, 93], [6, 1, 0, 8], [449, 1, 2265, 0], [1122, 30, 1, 875]]","[0.4749999940395355, 0.07500000298023224, 0.4749999940395355, 0.05000000074505806]",0.817627598066395,0.8700370793354553,0.8672026614915442,0.7741025832648283,0.005003171114361124,0.0051813471502590676,0.9672901382689663,0.9064571465759683,0.8440469536053661,0.9108585537867463,0.73821500966372,0.5825565912117177,0.7530577435358857,0.4274134978275111,0.35384952086605276
15,16.02596616744995,0.4354770207393985,0.7190927764141899,0.7653777246939385,"[[8018, 318, 300, 2], [13, 2, 0, 0], [536, 3, 2176, 0], [1912, 59, 0, 57]]","[0.20000000298023224, 0.07500000298023224, 0.75, 0.05000000074505806]",0.7636107150813423,0.8315295111491916,0.8388345451692211,0.7393119597439155,0.002263582500760206,0.010075566750629723,0.970079656428525,0.9110168668070515,0.8383741090348681,0.9024764312989019,0.7240549241307652,0.05462386200287494,0.8150851534594704,0.4524779930831776,0.4316675624378317
16,15.570224672555923,0.4926167453728713,0.7658962311489009,0.8021051060017916,"[[8299, 1, 320, 18], [10, 0, 0, 5], [618, 0, 2097, 0], [1674, 3, 2, 349]]","[0.17499999701976776, 0.10000000149011612, 0.7749999761581421, 0.05000000074505806]",0.7907743466336075,0.8567141089641267,0.8627267529497376,0.7839125127668585,0.007176516303968113,0.0,0.964390167701102,0.8907610274115398,0.8169068952084145,0.8910878419925409,0.6739792819285344,0.29083333333333333,0.7868414999699154,0.4327786640245496,0.3899294391123509
17,15.148989170789719,0.38342261821363094,0.6630176176241144,0.6878919080322484,"[[7483, 873, 282, 0], [15, 0, 0, 0], [668, 321, 1726, 0], [1969, 51, 2, 6]]","[0.4749999940395355, 0.05000000074505806, 0.44999998807907104, 0.05000000074505806]",0.6956316537745716,0.7806220509325005,0.7972087572577639,0.4807513140522631,0.0010582866741738102,0.0,0.9517090553215525,0.8648600565595886,0.7305820105820106,0.7963722088508938,0.6073263883408477,0.0058997050147492625,0.8155138882051451,0.4663920422553312,0.43640908155980446
18,14.646853253245354,0.4338487518425687,0.7039720352748157,0.7448492087190206,"[[8296, 53, 281, 8], [6, 1, 7, 1], [1375, 0, 1340, 0], [1443, 24, 220, 341]]","[0.32499998807907104, 0.10000000149011612, 0.6000000238418579, 0.05000000074505806]",0.7573522606203213,0.835263772011694,0.8397611094240308,0.7557232892409635,0.005678424247618249,0.021505376344086023,0.851227226949698,0.7146585473223264,0.5873328950252027,0.9194930369617752,0.7711450989229327,0.2867956265769554,0.7908687102402948,0.4084027532597996,0.3609774441009439
19,14.280394285917282,0.4320855746343739,0.7245975763358837,0.7841893102418632,"[[8307, 2, 328, 1], [15, 0, 0, 0], [568, 0, 2147, 0], [1966, 9, 2, 51]]","[0.20000000298023224, 0.15000000596046448, 0.75, 0.10000000149011612]",0.7784638143958759,0.8515598946385825,0.8522622345337026,0.7893331340457863,0.006648515709496636,0.0,0.9744188360150715,0.9080492103995066,0.8270416024653313,0.8985803041375702,0.7184189289032328,0.04903846153846154,0.8218783400887226,0.46129780314085483,0.42754826057431083
20,13.938387364149094,0.4206452795046962,0.6413056191639099,0.6375783816064496,"[[7066, 1422, 21, 129], [6, 3, 0, 6], [2209, 54, 452, 0], [796, 206, 6, 1020]]","[0.17499999701976776, 0.07500000298023224, 0.625, 0.05000000074505806]",0.6746602716658778,0.7929995994310908,0.7551162169382848,0.5558827192785791,0.0012516317700078286,0.0035294117647058825,0.7924268373489145,0.6462387523871449,0.2830306825297433,0.9222759446565812,0.7741088099710864,0.6409048067860509,0.7717195747660228,0.4027705260035957,0.36620045904281917
21,13.631837725639343,0.5829411153456417,0.8305881017250707,0.8386085398626456,"[[8037, 15, 398, 188], [8, 0, 0, 7], [527, 0, 2186, 2], [1011, 4, 2, 1011]]","[0.574999988079071, 0.05000000074505806, 0.3499999940395355, 0.07500000298023224]",0.8600987128732431,0.9077589764091157,0.8821689259645464,0.7417681787609297,0.004381266958925058,0.0,0.9723507586404527,0.9098702548150168,0.824750047160913,0.9205404552659668,0.7529518490238089,0.6248454882571075,0.7771055618459991,0.4167009103672766,0.38394060075405256
